NAME,RA,DEC,PMRA,PMDEC,EPOCH,RESOLUTION,SUBSURVEY,TEMPLATE,RULESET,EXTENT_FLAG,EXTENT_PARAMETER,EXTENT_INDEX,MAG_TYPE,MAG,MAG_ERR,DATE_EARLIEST,DATE_LATEST,CADENCE,REDDENING,REDSHIFT_ESTIMATE,REDSHIFT_ERROR,TEMPLATE_REDSHIFT,CAL_MAG_BLUE,CAL_MAG_GREEN,CAL_MAG_RED,CAL_MAG_ERR_BLUE,CAL_MAG_ERR_GREEN,CAL_MAG_ERR_RED,CAL_MAG_ID_BLUE,CAL_MAG_ID_GREEN,CAL_MAG_ID_RED,CLASSIFICATION,COMPLETENESS,PARALLAX
41584987,189.012655,-24.138931,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid112_snt1_phase25_redshift0.248.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.760126,0.0,2462565.0,2462570.0,1048576,0.0,0.254843,0.0,0.254843,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
92604866,170.27656,11.684467,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1141_snt21_phase25_redshift0.304.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.912668,0.0,2461869.0,2461874.0,1048576,0.0,0.305638,0.0,0.305638,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
196937049,319.424801,-28.187769,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid138_snt1_phase-7_redshift0.293.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.391169,0.0,2462423.0,2462428.0,1048576,0.0,0.298699,0.0,0.298699,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
148618351,3.336539,-61.310324,0.0,0.0,2000.0,1,tides-hosts,SF_col00pt780_mass09pt88_sfr02pt00_z00pt475.fits,tides_hostsMay2024,0,0.0,0.0,LSST_r_AB,23.6823,0.0,2462692.8,2462865.0,0,0.0,0.487248,0.0,0.487248,0.0,0.0,0.0,0.0,0.0,0.0,,,,GAL,0.0,0.0
117234974,310.36876,-56.880741,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1034_snt70_phase-10_redshift1.052.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.35308,0.0,2461186.0,2461191.0,1048576,0.0,1.05949,0.0,1.05949,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
195208815,53.343399,-39.491605,0.0,0.0,2000.0,1,tides-hosts,SF_col00pt750_mass10pt25_sfr01pt00_z00pt550.fits,tides_hostsMay2024,0,0.0,0.0,LSST_r_AB,22.5417,0.0,2461003.7,2462865.0,0,0.0,0.554311,0.0,0.554311,0.0,0.0,0.0,0.0,0.0,0.0,,,,GAL,0.0,0.0
74671251,137.24446,-4.501216,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1351_snt25_phase25_redshift0.217.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,23.268332,0.0,2462189.0,2462194.0,1048576,0.0,0.22717,0.0,0.22717,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
78944299,300.211156,-2.360623,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid94_snt1_phase21_redshift0.224.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.908957,0.0,2462740.0,2462745.0,1048576,0.0,0.221758,0.0,0.221758,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
164727626,206.509655,-48.524087,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1323_snt25_phase25_redshift0.092.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,20.56196,0.0,2461904.0,2461909.0,1048576,0.0,0.08259,0.0,0.08259,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
154603083,153.286997,-40.321151,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid80_snt1_phase33_redshift0.198.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.149342,0.0,2461508.0,2461513.0,1048576,0.0,0.187677,0.0,0.187677,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
94980889,213.204309,-22.957588,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid146_snt1_phase25_redshift0.293.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.237612,0.0,2461169.0,2461174.0,1048576,0.0,0.298564,0.0,0.298564,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
76110924,317.603147,-1.043199,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid311_snt1_phase5_redshift0.490.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.726788,0.0,2462702.0,2462707.0,1048576,0.0,0.480356,0.0,0.480356,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
103811483,279.234146,-31.531717,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1330_snt25_phase25_redshift0.132.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.350027,0.0,2461955.0,2461960.0,1048576,0.0,0.123685,0.0,0.123685,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
72690282,5.273759,-10.790636,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid172_snt1_phase-7_redshift0.335.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.27366,0.0,2461277.0,2461282.0,1048576,0.0,0.325903,0.0,0.325903,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
106497708,293.942458,-16.444961,0.0,0.0,2000.0,1,tides-hosts,SF_col00pt780_mass09pt88_sfr02pt00_z00pt450.fits,tides_hostsMay2024,0,0.0,0.0,LSST_r_AB,21.7462,0.0,2462355.7,2462865.0,0,0.0,0.455563,0.0,0.455563,0.0,0.0,0.0,0.0,0.0,0.0,,,,GAL,0.0,0.0
1007705,135.496577,-13.683617,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid241_snt1_phase-3_redshift0.414.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.24629,0.0,2462542.0,2462547.0,1048576,0.0,0.408564,0.0,0.408564,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
139514682,91.804368,-16.833004,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid897_snt70_phase60_redshift0.613.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.611044,0.0,2461457.0,2461462.0,1048576,0.0,0.624294,0.0,0.624294,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
114827956,128.504178,-4.002865,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid84_snt1_phase49_redshift0.198.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.363628,0.0,2462246.0,2462251.0,1048576,0.0,0.185725,0.0,0.185725,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
114560101,44.978789,-10.608843,0.0,0.0,2000.0,1,tides-hosts,Pass_col00pt945_mass09pt50_sfr00pt00_z00pt150.fits,tides_hostsMay2024,0,0.0,0.0,LSST_r_AB,22.0905,0.0,2461017.6,2462865.0,0,0.0,0.153516,0.0,0.153516,0.0,0.0,0.0,0.0,0.0,0.0,,,,GAL,0.0,0.0
146815878,33.355913,-7.53272,0.0,0.0,2000.0,1,tides-hosts,SF_col00pt780_mass10pt78_sfr05pt00_z00pt300.fits,tides_hostsMay2024,0,0.0,0.0,LSST_r_AB,20.0044,0.0,2461334.6,2462865.0,0,0.0,0.304513,0.0,0.304513,0.0,0.0,0.0,0.0,0.0,0.0,,,,GAL,0.0,0.0
